IBAN,Saldo actual,Cliente,Sucursal
ES9121000418450200051332,1543.67,1,34
ES7520480128703200003214,2678.45,2,67
ES4420381775986000012332,3891.23,3,12
ES6614910001213000012343,4123.56,4,89
ES3200495103052016165371,5345.78,5,45
ES7014650100951900012345,6578.90,6,78
ES4202161615606100101216,7890.12,7,23
ES7921000813610102345678,9123.45,8,56
ES8600810299730001012702,10345.67,9,91
ES1021002527540100123456,11567.89,10,36
ES2200300999090111112222,12789.01,11,69
ES4000492352082414145371,13901.23,12,14
ES2820805576200300011333,15123.45,13,47
ES5121000692130200038500,16345.67,14,82
ES6401823999370200666677,17567.89,15,27
ES8821000417160200007261,18790.12,16,60
ES6814650100921900012345,19901.23,17,95
ES2620381775996000012332,21123.45,18,40
ES4914910001223000012343,22345.67,19,73
ES1300495103052016165371,23567.89,20,18
ES9121000418450200051333,24789.01,21,51
ES7520480128703200003215,25901.23,22,86
ES4420381775986000012333,27123.45,23,31
ES6614910001213000012344,28345.67,24,64
ES3200495103052016165372,29567.89,25,99
ES7014650100951900012346,30790.12,26,44
ES4202161615606100101217,31901.23,27,77
ES7921000813610102345679,33123.45,28,22
ES8600810299730001012703,34345.67,29,55
ES1021002527540100123457,35567.89,30,90
ES2200300999090111112223,36789.01,31,35
ES4000492352082414145372,37901.23,32,68
ES2820805576200300011334,39123.45,33,13
ES5121000692130200038501,40345.67,34,46
ES6401823999370200666678,41567.89,35,81
ES8821000417160200007262,42790.12,36,26
ES6814650100921900012346,43901.23,37,59
ES2620381775996000012333,45123.45,38,94
ES4914910001223000012344,46345.67,39,39
ES1300495103052016165372,47567.89,40,72
ES9121000418450200051334,48789.01,1,17
ES7520480128703200003216,49901.23,2,50
ES4420381775986000012334,51123.45,3,85
ES6614910001213000012345,52345.67,4,30
ES3200495103052016165373,53567.89,5,63
ES7014650100951900012347,54790.12,6,98
ES4202161615606100101218,55901.23,7,43
ES7921000813610102345680,57123.45,8,76
ES8600810299730001012704,58345.67,9,21
ES1021002527540100123458,59567.89,10,54
ES2200300999090111112224,60789.01,11,89
ES4000492352082414145373,61901.23,12,34
ES2820805576200300011335,63123.45,13,67
ES5121000692130200038502,64345.67,14,12
ES6401823999370200666679,65567.89,15,45
ES8821000417160200007263,66790.12,16,78
ES6814650100921900012347,67901.23,17,23
ES2620381775996000012334,69123.45,18,56
ES4914910001223000012345,70345.67,19,91
ES1300495103052016165373,71567.89,20,36
ES9121000418450200051335,72789.01,21,69
ES7520480128703200003217,73901.23,22,14
ES4420381775986000012335,75123.45,23,47
ES6614910001213000012346,76345.67,24,82
ES3200495103052016165374,77567.89,25,27
ES7014650100951900012348,78790.12,26,60
ES4202161615606100101219,79901.23,27,95
ES7921000813610102345681,81123.45,28,40
ES8600810299730001012705,82345.67,29,73
ES1021002527540100123459,83567.89,30,18
