Fecha,IBAN,Descripción,Importe
01/01/2024 10:15:32,ES9121000418450200051332,Compra en supermercado,-45.67
01/01/2024 11:23:45,ES7520480128703200003214,Transferencia a ES3200495103052016165371,-100.00
01/01/2024 12:34:56,ES4420381775986000012332,Retirada de efectivo,-200.00
01/01/2024 13:45:12,ES6614910001213000012343,Pago de luz,-35.78
01/01/2024 14:56:23,ES3200495103052016165371,Ingreso en cuenta,100.00
01/01/2024 15:12:34,ES7014650100951900012345,Compra online,-67.89
01/01/2024 16:23:45,ES4202161615606100101216,Abono de nómina,1500.00
01/01/2024 17:34:56,ES7921000813610102345678,Pago de alquiler,-500.00
01/01/2024 18:45:12,ES8600810299730001012702,Compra en farmacia,-12.34
01/01/2024 19:56:23,ES1021002527540100123456,Transferencia a ES8821000417160200007261,-250.00
02/01/2024 10:15:32,ES2200300999090111112222,Compra en gasolinera,-40.56
02/01/2024 16:23:45,ES6814650100921900012345,Pago de agua,-25.34
02/01/2024 17:34:56,ES2620381775996000012332,Compra en zapatería,-60.78
02/01/2024 18:45:12,ES4914910001223000012343,Abono de intereses,12.45
02/01/2024 19:56:23,ES1300495103052016165371,Compra en restaurante,-80.90
03/01/2024 10:15:32,ES9121000418450200051333,Compra en panadería,-3.50
03/01/2024 11:23:45,ES7520480128703200003215,Transferencia a ES7014650100951900012345,-150.00
03/01/2024 12:34:56,ES4420381775986000012333,Retirada de efectivo,-400.00
03/01/2024 13:45:12,ES6614910001213000012344,Pago de internet,-30.67
03/01/2024 14:56:23,ES3200495103052016165372,Ingreso en cuenta,300.00
03/01/2024 15:12:34,ES7014650100951900012346,Ingreso en cuenta,150.00
03/01/2024 16:23:45,ES4202161615606100101217,Compra en floristería,-25.89
03/01/2024 17:34:56,ES7921000813610102345679,Pago de seguro,-50.00
03/01/2024 18:45:12,ES8600810299730001012703,Compra en peluquería,-40.12
03/01/2024 19:56:23,ES1021002527540100123457,Transferencia a ES2820805576200300011333,-200.00
04/01/2024 10:15:32,ES2200300999090111112223,Compra en perfumería,-35.67
04/01/2024 11:23:45,ES4000492352082414145372,Pago de gimnasio,-30.00
04/01/2024 12:34:56,ES2820805576200300011334,Compra en óptica,-120.45
04/01/2024 13:45:12,ES5121000692130200038501,Ingreso en cuenta,400.00
04/01/2024 14:56:23,ES6401823999370200666678,Retirada de efectivo,-500.00
04/01/2024 15:12:34,ES8821000417160200007262,Ingreso en cuenta,300.00
04/01/2024 16:23:45,ES6814650100921900012346,Compra en joyería,-250.67
04/01/2024 17:34:56,ES2620381775996000012333,Compra en electrodomésticos,-400.89
04/01/2024 18:45:12,ES4914910001223000012344,Abono de impuestos,-100.00
04/01/2024 19:56:23,ES1300495103052016165372,Compra en veterinaria,-60.34
05/01/2024 10:15:32,ES9121000418450200051334,Compra en frutería,-10.56
05/01/2024 11:23:45,ES7520480128703200003216,Transferencia a ES8600810299730001012702,-500.00
05/01/2024 12:34:56,ES4420381775986000012334,Retirada de efectivo,-600.00
05/01/2024 13:45:12,ES6614910001213000012345,Pago de gas,-40.78
05/01/2024 14:56:23,ES3200495103052016165373,Ingreso en cuenta,600.00
05/01/2024 15:12:34,ES7014650100951900012347,Ingreso en cuenta,500.00
05/01/2024 16:23:45,ES4202161615606100101218,Compra en juguetería,-80.12
05/01/2024 17:34:56,ES7921000813610102345680,Pago de colegio,-300.00
05/01/2024 18:45:12,ES8600810299730001012704,Compra en farmacia,-15.67
05/01/2024 19:56:23,ES1021002527540100123458,Transferencia a ES4000492352082414145371,-400.00
06/01/2024 10:15:32,ES2200300999090111112224,Compra en gasolinera,-50.45
06/01/2024 11:23:45,ES4000492352082414145373,Pago de teléfono,-25.12
06/01/2024 12:34:56,ES2820805576200300011335,Compra en librería,-20.67
06/01/2024 13:45:12,ES5121000692130200038502,Ingreso en cuenta,250.00
06/01/2024 14:56:23,ES6401823999370200666679,Retirada de efectivo,-700.00
06/01/2024 15:12:34,ES8821000417160200007263,Ingreso en cuenta,350.00
06/01/2024 16:23:45,ES6814650100921900012347,Compra en floristería,-30.89
06/01/2024 17:34:56,ES2620381775996000012334,Pago de seguro,-60.00
06/01/2024 18:45:12,ES4914910001223000012345,Compra en peluquería,-45.12
06/01/2024 19:56:23,ES1300495103052016165373,Transferencia a ES1021002527540100123456,-450.00
07/01/2024 10:15:32,ES9121000418450200051335,Compra en perfumería,-40.67
07/01/2024 11:23:45,ES7520480128703200003217,Pago de gimnasio,-35.00
07/01/2024 12:34:56,ES4420381775986000012335,Compra en óptica,-130.45
07/01/2024 13:45:12,ES6614910001213000012346,Ingreso en cuenta,450.00
07/01/2024 14:56:23,ES3200495103052016165374,Retirada de efectivo,-800.00
07/01/2024 15:12:34,ES7014650100951900012348,Ingreso en cuenta,550.00
07/01/2024 16:23:45,ES4202161615606100101219,Compra en joyería,-260.67
07/01/2024 17:34:56,ES7921000813610102345681,Compra en electrodomésticos,-410.89
07/01/2024 18:45:12,ES8600810299730001012705,Abono de impuestos,-110.00
07/01/2024 19:56:23,ES1021002527540100123459,Compra en veterinaria,-65.34
08/01/2024 10:15:32,ES9121000418450200051332,Compra en frutería,-11.56
08/01/2024 11:23:45,ES7520480128703200003214,Transferencia a ES7921000813610102345678,-550.00
08/01/2024 12:34:56,ES4420381775986000012332,Retirada de efectivo,-900.00
08/01/2024 13:45:12,ES6614910001213000012343,Pago de gas,-45.78
08/01/2024 14:56:23,ES3200495103052016165371,Ingreso en cuenta,750.00
08/01/2024 15:12:34,ES7014650100951900012345,Ingreso en cuenta,650.00
08/01/2024 16:23:45,ES4202161615606100101216,Compra en juguetería,-85.12
08/01/2024 17:34:56,ES7921000813610102345678,Pago de colegio,-350.00
08/01/2024 18:45:12,ES8600810299730001012702,Compra en farmacia,-18.67
08/01/2024 19:56:23,ES1021002527540100123456,Transferencia a ES2820805576200300011333,-500.00
09/01/2024 10:15:32,ES2200300999090111112222,Compra en perfumería,-45.67
09/01/2024 11:23:45,ES4000492352082414145371,Pago de gimnasio,-40.00
09/01/2024 12:34:56,ES2820805576200300011333,Compra en óptica,-140.45
09/01/2024 13:45:12,ES5121000692130200038500,Ingreso en cuenta,500.00
09/01/2024 14:56:23,ES6401823999370200666677,Retirada de efectivo,-1000.00
09/01/2024 15:12:34,ES8821000417160200007261,Ingreso en cuenta,750.00
09/01/2024 16:23:45,ES6814650100921900012345,Compra en joyería,-300.67
09/01/2024 17:34:56,ES2620381775996000012332,Compra en electrodomésticos,-450.89
09/01/2024 18:45:12,ES4914910001223000012343,Abono de impuestos,-150.00
09/01/2024 19:56:23,ES1300495103052016165371,Compra en veterinaria,-70.34
10/01/2024 10:15:32,ES9121000418450200051333,Compra en frutería,-12.56
10/01/2024 11:23:45,ES7520480128703200003215,Transferencia a ES7014650100951900012345,-600.00
10/01/2024 12:34:56,ES4420381775986000012333,Retirada de efectivo,-1100.00
10/01/2024 13:45:12,ES6614910001213000012344,Pago de gas,-50.78
10/01/2024 14:56:23,ES3200495103052016165372,Ingreso en cuenta,800.00
10/01/2024 15:12:34,ES7014650100951900012346,Ingreso en cuenta,700.00
10/01/2024 16:23:45,ES4202161615606100101217,Compra en floristería,-35.89
10/01/2024 17:34:56,ES7921000813610102345679,Pago de seguro,-70.00
10/01/2024 18:45:12,ES8600810299730001012703,Compra en peluquería,-50.12
10/01/2024 19:56:23,ES1021002527540100123457,Transferencia a ES4000492352082414145371,-550.00
11/01/2024 10:15:32,ES2200300999090111112223,Compra en gasolinera,-60.45
11/01/2024 11:23:45,ES4000492352082414145372,Pago de teléfono,-30.12
11/01/2024 12:34:56,ES2820805576200300011334,Compra en librería,-25.67
11/01/2024 13:45:12,ES5121000692130200038501,Ingreso en cuenta,350.00
11/01/2024 14:56:23,ES6401823999370200666678,Retirada de efectivo,-1200.00
11/01/2024 15:12:34,ES8821000417160200007262,Ingreso en cuenta,800.00
11/01/2024 16:23:45,ES6814650100921900012346,Compra en floristería,-40.89
11/01/2024 17:34:56,ES2620381775996000012333,Compra en electrodomésticos,-500.89
11/01/2024 18:45:12,ES4914910001223000012344,Abono de impuestos,-200.00
11/01/2024 19:56:23,ES1300495103052016165372,Compra en veterinaria,-80.34
12/01/2024 10:15:32,ES9121000418450200051334,Compra en perfumería,-50.67
12/01/2024 11:23:45,ES7520480128703200003216,Pago de gimnasio,-45.00
12/01/2024 12:34:56,ES4420381775986000012334,Compra en óptica,-150.45
12/01/2024 13:45:12,ES6614910001213000012345,Ingreso en cuenta,600.00
12/01/2024 14:56:23,ES3200495103052016165373,Retirada de efectivo,-1300.00
12/01/2024 15:12:34,ES7014650100951900012347,Ingreso en cuenta,900.00
